Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
,,,,0,,,,,,0,,2,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,325,,0,,,,,,,,,0,,30,,,,,
,,,,0,,,,,,0,,6,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,73,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,8,,,,,
,,,,0,,,,,,10,,0,,,,,,,,,0,,214,,,,,
,,,,0,,,,,,8,,0,,,,,,,,,1,,-1,,,,,
,,,,0,,,,,,41,,0,,,,,,,,,0,,66,,,,,
,,,,0,,,,,,30,,0,,,,,,,,,0,,369,,,,,
,,,,0,,,,,,30,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,23,,0,,,,,,,,,0,,19,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,44,,,,,
,,,,0,,,,,,-1,,-1,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,9,,,,,
,,,,0,,,,,,0,,143,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,232,,-1,,,,,,,,,0,,1169,,,,,
,,,,0,,,,,,556,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,2,,0,,,,,,,,,0,,665,,,,,
,,,,0,,,,,,91,,0,,,,,,,,,0,,164,,,,,
,,,,0,,,,,,623,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,297,,0,,,,,,,,,0,,710,,,,,
,,,,0,,,,,,173,,0,,,,,,,,,0,,586,,,,,
,,,,0,,,,,,125,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,178,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,166,,0,,,,,,,,,0,,36,,,,,
,,,,0,,,,,,249,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,0,,-1,,,,,,,,,0,,20,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,611,,,,,
,,,,0,,,,,,156,,0,,,,,,,,,0,,14,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,11,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,29,,-1,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,29,,0,,,,,,,,,0,,122,,,,,
,,,,0,,,,,,2,,55,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,8,,0,,,,,,,,,0,,8,,,,,
,,,,0,,,,,,321,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,-1,,32,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,3,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,4,,0,,,,,,,,,0,,14,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,44,,,,,
,,,,0,,,,,,27,,0,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,9,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,-1,,,,,,,,,0,,16,,,,,
,,,,0,,,,,,1050,,0,,,,,,,,,0,,164,,,,,
,,,,0,,,,,,14,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,698,,8,,,,,,,,,0,,21,,,,,
,,,,0,,,,,,66,,528,,,,,,,,,0,,44,,,,,
,,,,0,,,,,,67,,0,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,150,,-1,,,,,,,,,0,,98,,,,,
,,,,0,,,,,,329,,0,,,,,,,,,0,,925,,,,,
,,,,0,,,,,,704,,0,,,,,,,,,0,,655,,,,,
,,,,0,,,,,,11,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,1072,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,163,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,7,,,,,
,,,,0,,,,,,27,,-1,,,,,,,,,0,,10,,,,,
,,,,0,,,,,,17,,0,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,31,,0,,,,,,,,,0,,21,,,,,
,,,,0,,,,,,518,,0,,,,,,,,,0,,80,,,,,
,,,,0,,,,,,0,,2,,,,,,,,,0,,-1,,,,,
