space_1,distinct_id,2,3,4,5,6,7,week_login_total
MRK3480 Forbrukeratferd,5698da692fb0de2600f22b3e,0,4,2,4,0,0,10
MRK3480 Forbrukeratferd,5698da712fb0de2600f22b92,1,3,3,2,1,0,10
MRK3480 Forbrukeratferd,5698da7a2fb0de2600f22c06,0,3,4,1,2,0,10
MRK3480 Forbrukeratferd,5698da4e2fb0de2600f229eb,0,3,3,4,0,0,10
MRK3480 Forbrukeratferd,5698da5341a9d7210024073b,2,2,4,1,1,0,10
MRK3480 Forbrukeratferd,5698da562fb0de2600f22a50,1,3,5,0,1,0,10
MRK3480 Forbrukeratferd,5698da4b41a9d721002406e2,0,2,3,0,5,0,10
MRK3480 Forbrukeratferd,5698da782fb0de2600f22bef,0,2,4,1,3,0,10
MRK3480 Forbrukeratferd,5698da6841a9d7210024091f,0,3,4,0,3,0,10
MRK3480 Forbrukeratferd,5698da4541a9d72100240695,1,2,3,1,3,0,10
MRK3480 Forbrukeratferd,5698da6f41a9d7210024096f,2,6,1,1,0,0,10
MRK3480 Forbrukeratferd,5698da7241a9d72100240997,1,4,2,1,2,0,10
MRK3480 Forbrukeratferd,5698da592fb0de2600f22a6d,0,2,8,0,0,0,10
MRK3480 Forbrukeratferd,5698da672fb0de2600f22b1f,3,1,1,3,2,0,10
MRK3480 Forbrukeratferd,5698da672fb0de2600f22b1d,1,4,0,4,1,0,10
MRK3480 Forbrukeratferd,5698da7041a9d72100240971,0,0,5,3,3,0,11
MRK3480 Forbrukeratferd,5698da6a2fb0de2600f22b45,1,2,4,1,3,0,11
MRK3480 Forbrukeratferd,5698da492fb0de2600f229a7,0,2,4,2,3,0,11
MRK3480 Forbrukeratferd,5698da5541a9d72100240759,0,2,4,3,2,0,11
MRK3480 Forbrukeratferd,56a6b0275d52c7250022aa27,0,0,4,6,1,0,11
MRK3480 Forbrukeratferd,5698da732fb0de2600f22bb2,1,1,2,4,3,0,11
